#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   6.27441    -33.440746  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   6.20172    -33.439301  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   6.12902    -33.438858  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   6.12902    -33.438858  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   6.09267    -33.438961  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   6.05632    -33.439255  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   6.01997    -33.439709  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.98362    -33.440315  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.94728    -33.441042  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.91093    -33.441858  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.87458    -33.442739  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.83823    -33.443669  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.80188    -33.444604  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.76553    -33.445540  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   5.72918    -33.446439  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   5.69284    -33.447274  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   5.65649    -33.448057  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   5.62014    -33.448762  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   5.58379    -33.449362  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   5.54744    -33.449833  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
