#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   7.97170    -33.417453  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   7.92043    -33.414811  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   7.86916    -33.412275  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   7.81789    -33.411180  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.76662    -33.422525  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.71535    -33.432232  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.66408    -33.440058  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.61281    -33.445786  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.56153    -33.449286  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.51026    -33.450463  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   7.51026    -33.543756  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   7.43757    -33.542915  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   7.36487    -33.540430  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   7.29217    -33.536391  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   7.21948    -33.530901  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   7.14678    -33.524198  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   7.07408    -33.516504  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   7.00138    -33.508067  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.92869    -33.499189  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.85599    -33.490145  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.78329    -33.481237  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.71060    -33.472734  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.63790    -33.464889  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.56520    -33.457890  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   6.49250    -33.451895  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   6.41981    -33.447008  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   6.34711    -33.443295  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   6.27441    -33.440746  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   6.20172    -33.439301  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   6.12902    -33.438858  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   6.12902    -33.438858  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   6.09267    -33.438961  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   6.05632    -33.439255  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   6.01997    -33.439709  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.98362    -33.440315  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.94728    -33.441042  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.91093    -33.441858  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.87458    -33.442739  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.83823    -33.443669  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.80188    -33.444604  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.76553    -33.445540  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.72918    -33.446439  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.69284    -33.447274  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.65649    -33.448057  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.62014    -33.448762  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.58379    -33.449362  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.54744    -33.449833  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.51109    -33.450179  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.47474    -33.450390  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.43840    -33.450463  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.43840    -33.450463  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.37544    -33.451108  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   5.31248    -33.453020  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
