      #Energy        TDOS
     -54.90404       0.00000
     -54.86904       0.00000
     -54.83304       0.00000
     -54.79804       0.00000
     -54.76204       0.00000
     -54.72704       0.00000
     -54.69104       0.00000
     -54.65604       0.00000
     -54.62004       0.00000
     -54.58504       0.00000
     -54.55004       0.00000
     -54.51404       0.00000
     -54.47904       0.00000
     -54.44304       0.00000
     -54.40804       0.00000
     -54.37204       0.00000
     -54.33704       0.00000
     -54.30104       0.00000
     -54.26604       0.00000
     -54.23104       0.00000
     -54.19504       0.00000
     -54.16004       0.00000
     -54.12404       0.00000
     -54.08904       0.00000
     -54.05304       0.00000
     -54.01804       0.00000
     -53.98204       0.00000
     -53.94704       0.00000
     -53.91204       0.00000
     -53.87604       0.00000
     -53.84104       0.00000
     -53.80504       0.00000
     -53.77004       0.00000
     -53.73404       0.00000
     -53.69904       0.00000
     -53.66304       0.00000
     -53.62804       0.00000
     -53.59304       0.00000
     -53.55704       0.00000
     -53.52204       0.00000
     -53.48604       0.00000
     -53.45104       0.00000
     -53.41504       0.00000
     -53.38004       0.00000
     -53.34404       0.00000
     -53.30904       0.00000
     -53.27404       0.00000
     -53.23804       0.00000
     -53.20304       0.00000
     -53.16704       0.00000
     -53.13204       0.00000
     -53.09604       0.00000
     -53.06104       0.00000
     -53.02504       0.00000
     -52.99004       0.00000
     -52.95504       0.00000
     -52.91904       0.00000
     -52.88404       0.00000
     -52.84804       0.00000
     -52.81304       0.00000
     -52.77704       0.00000
     -52.74204       0.00000
     -52.70604       0.00000
     -52.67104       0.00000
     -52.63604       0.00000
     -52.60004       0.00000
     -52.56504       0.00000
     -52.52904       0.00000
     -52.49404       0.00000
     -52.45804       0.00000
     -52.42304       0.00000
     -52.38704       0.00000
     -52.35204       0.00000
     -52.31704       0.00000
     -52.28104       0.00000
     -52.24604       0.00000
     -52.21004       0.00000
     -52.17504       0.00000
     -52.13904       0.00000
     -52.10404       0.00000
     -52.06904       0.00000
     -52.03304       0.00000
     -51.99804       0.00000
     -51.96204       0.00000
     -51.92704       0.00000
     -51.89104       0.00000
     -51.85604       0.00000
     -51.82004       0.00000
     -51.78504       0.00000
     -51.75004       0.00000
     -51.71404       0.00000
     -51.67904       0.00000
     -51.64304       0.00000
     -51.60804       0.00000
     -51.57204       0.00000
     -51.53704       0.00000
     -51.50104       0.00000
     -51.46604       0.00000
     -51.43104       0.00000
     -51.39504       0.00000
     -51.36004       0.00000
     -51.32404       0.00000
     -51.28904       0.00000
     -51.25304       0.00000
     -51.21804       0.00000
     -51.18204       0.00000
     -51.14704       0.00000
     -51.11204       0.00000
     -51.07604       0.00000
     -51.04104       0.00000
     -51.00504       0.00000
     -50.97004       0.00000
     -50.93404       0.00000
     -50.89904       0.00000
     -50.86304       0.00000
     -50.82804       0.00000
     -50.79304       0.00000
     -50.75704       0.00000
     -50.72204       0.00000
     -50.68604       0.00000
     -50.65104       0.00000
     -50.61504       0.00000
     -50.58004       0.00000
     -50.54404       0.00000
     -50.50904       0.00000
     -50.47404       0.00000
     -50.43804       0.00000
     -50.40304       0.00000
     -50.36704       0.00000
     -50.33204       0.00000
     -50.29604       0.00000
     -50.26104       0.00000
     -50.22504       0.00000
     -50.19004       0.00000
     -50.15504       0.00000
     -50.11904       0.00000
     -50.08404       0.00000
     -50.04804       0.00000
     -50.01304       0.00000
