      #Energy        TDOS
     -54.90404       2.87766
     -54.86904       2.87766
     -54.83304       2.87766
     -54.79804       2.87766
     -54.76204       2.87766
     -54.72704       2.87766
     -54.69104       2.87766
     -54.65604       2.87766
     -54.62004       2.87766
     -54.58504       2.87766
     -54.55004       2.87766
     -54.51404       2.87766
     -54.47904       2.87766
     -54.44304       2.87766
     -54.40804       2.87766
     -54.37204       2.87766
     -54.33704       2.87766
     -54.30104       2.87766
     -54.26604       2.87766
     -54.23104       2.87766
     -54.19504       2.87766
     -54.16004       2.87766
     -54.12404       2.87766
     -54.08904       2.87766
     -54.05304       2.87766
     -54.01804       2.87766
     -53.98204       2.87766
     -53.94704       2.87766
     -53.91204       2.87766
     -53.87604       2.87766
     -53.84104       2.87766
     -53.80504       2.87766
     -53.77004       2.87766
     -53.73404       2.87766
     -53.69904       2.87766
     -53.66304       2.87766
     -53.62804       2.87766
     -53.59304       2.87766
     -53.55704       2.87766
     -53.52204       2.87766
     -53.48604       2.87766
     -53.45104       2.87766
     -53.41504       2.87766
     -53.38004       2.87766
     -53.34404       2.87766
     -53.30904       2.87766
     -53.27404       2.87766
     -53.23804       2.87766
     -53.20304       2.87766
     -53.16704       2.87766
     -53.13204       2.87766
     -53.09604       2.87766
     -53.06104       2.87766
     -53.02504       2.87766
     -52.99004       2.87766
     -52.95504       2.87766
     -52.91904       2.87766
     -52.88404       2.87766
     -52.84804       2.87766
     -52.81304       2.87766
     -52.77704       2.87766
     -52.74204       2.87766
     -52.70604       2.87766
     -52.67104       2.87766
     -52.63604       2.87766
     -52.60004       2.87766
     -52.56504       2.87766
     -52.52904       2.87766
     -52.49404       2.87766
     -52.45804       2.87766
     -52.42304       2.87766
     -52.38704       2.87766
     -52.35204       2.87766
     -52.31704       2.87766
     -52.28104       2.87766
     -52.24604       2.87766
     -52.21004       2.87766
     -52.17504       2.87766
     -52.13904       2.87766
     -52.10404       2.87766
     -52.06904       2.87766
     -52.03304       2.87766
     -51.99804       2.87766
     -51.96204       2.87766
     -51.92704       2.87766
     -51.89104       2.87766
     -51.85604       2.87766
     -51.82004       2.87766
     -51.78504       2.87766
     -51.75004       2.87766
     -51.71404       2.87766
     -51.67904       2.87766
     -51.64304       2.87766
     -51.60804       2.87766
     -51.57204       2.87766
     -51.53704       2.87766
     -51.50104       2.87766
     -51.46604       2.87766
     -51.43104       2.87766
     -51.39504       2.87766
     -51.36004       2.87766
     -51.32404       2.87766
     -51.28904       2.87766
     -51.25304       2.87766
     -51.21804       2.87766
     -51.18204       2.87766
     -51.14704       2.87766
     -51.11204       2.87766
     -51.07604       2.87766
     -51.04104       2.87766
     -51.00504       2.87766
     -50.97004       2.87766
     -50.93404       2.87766
     -50.89904       2.87766
     -50.86304       2.87766
     -50.82804       2.87766
     -50.79304       2.87766
     -50.75704       2.87766
     -50.72204       2.87766
     -50.68604       2.87766
     -50.65104       2.87766
     -50.61504       2.87766
     -50.58004       2.87766
     -50.54404       2.87766
     -50.50904       2.87766
     -50.47404       2.87766
     -50.43804       2.87766
     -50.40304       2.87766
     -50.36704       2.87766
     -50.33204       2.87766
     -50.29604       2.87766
     -50.26104       2.87766
     -50.22504       2.87766
     -50.19004       2.87766
     -50.15504       2.87766
     -50.11904       2.87766
     -50.08404       2.87766
     -50.04804       2.87766
     -50.01304       2.87766
